algorithm,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize
DE,500,1,7500,3600,300,20
DE,500,1,7500,3600,300,30
DE,500,1,7500,3600,300,40
DE,500,1,7500,3600,300,50
DE,500,1,7500,3600,600,10
DE,500,1,7500,3600,600,20
DE,500,1,7500,3600,600,30
DE,500,1,7500,3600,600,40
DE,500,1,7500,3600,600,50
DE,500,1,7500,3600,900,10
DE,500,1,7500,3600,900,20
DE,500,1,7500,3600,900,30
DE,500,1,7500,3600,900,40
DE,500,1,7500,3600,900,50
SHADE,100,1,7500,3600,60,10
SHADE,100,1,7500,3600,60,20
SHADE,100,1,7500,3600,60,30
SHADE,100,1,7500,3600,60,40
SHADE,100,1,7500,3600,60,50
SHADE,100,1,7500,3600,300,10
SHADE,100,1,7500,3600,300,20
SHADE,100,1,7500,3600,300,30
SHADE,100,1,7500,3600,300,40
SHADE,100,1,7500,3600,300,50
SHADE,100,1,7500,3600,600,10
SHADE,100,1,7500,3600,600,20
SHADE,100,1,7500,3600,600,30
SHADE,100,1,7500,3600,600,40
SHADE,100,1,7500,3600,600,50
SHADE,100,1,7500,3600,900,10
SHADE,100,1,7500,3600,900,20
SHADE,100,1,7500,3600,900,30
SHADE,100,1,7500,3600,900,40
SHADE,100,1,7500,3600,900,50
SHADE,200,1,7500,3600,60,10
SHADE,200,1,7500,3600,60,20
SHADE,200,1,7500,3600,60,30
SHADE,200,1,7500,3600,60,40
SHADE,200,1,7500,3600,60,50
SHADE,200,1,7500,3600,300,10
SHADE,200,1,7500,3600,300,20
SHADE,200,1,7500,3600,300,30
SHADE,200,1,7500,3600,300,40
SHADE,200,1,7500,3600,300,50
SHADE,200,1,7500,3600,600,10
SHADE,200,1,7500,3600,600,20
SHADE,200,1,7500,3600,600,30
SHADE,200,1,7500,3600,600,40
SHADE,200,1,7500,3600,600,50
SHADE,200,1,7500,3600,900,10
SHADE,200,1,7500,3600,900,20
SHADE,200,1,7500,3600,900,30
SHADE,200,1,7500,3600,900,40
SHADE,200,1,7500,3600,900,50
SHADE,300,1,7500,3600,60,10
SHADE,300,1,7500,3600,60,20
SHADE,300,1,7500,3600,60,30
SHADE,300,1,7500,3600,60,40
SHADE,300,1,7500,3600,60,50
SHADE,300,1,7500,3600,300,10
SHADE,300,1,7500,3600,300,20
SHADE,300,1,7500,3600,300,30
SHADE,300,1,7500,3600,300,40
SHADE,300,1,7500,3600,300,50
SHADE,300,1,7500,3600,600,10
SHADE,300,1,7500,3600,600,20
SHADE,300,1,7500,3600,600,30
SHADE,300,1,7500,3600,600,40
SHADE,300,1,7500,3600,600,50
SHADE,300,1,7500,3600,900,10
SHADE,300,1,7500,3600,900,20
SHADE,300,1,7500,3600,900,30
SHADE,300,1,7500,3600,900,40
SHADE,300,1,7500,3600,900,50
SHADE,400,1,7500,3600,60,10
SHADE,400,1,7500,3600,60,20
SHADE,400,1,7500,3600,60,30
SHADE,400,1,7500,3600,60,40
SHADE,400,1,7500,3600,60,50
SHADE,400,1,7500,3600,300,10
SHADE,400,1,7500,3600,300,20
SHADE,400,1,7500,3600,300,30
SHADE,400,1,7500,3600,300,40
SHADE,400,1,7500,3600,300,50
SHADE,400,1,7500,3600,600,10
SHADE,400,1,7500,3600,600,20
SHADE,400,1,7500,3600,600,30
SHADE,400,1,7500,3600,600,40
SHADE,400,1,7500,3600,600,50
SHADE,400,1,7500,3600,900,10
SHADE,400,1,7500,3600,900,20
SHADE,400,1,7500,3600,900,30
SHADE,400,1,7500,3600,900,40
SHADE,400,1,7500,3600,900,50
SHADE,500,1,7500,3600,60,10
SHADE,500,1,7500,3600,60,20
SHADE,500,1,7500,3600,60,30
SHADE,500,1,7500,3600,60,40
SHADE,500,1,7500,3600,60,50
SHADE,500,1,7500,3600,300,10
SHADE,500,1,7500,3600,300,20
SHADE,500,1,7500,3600,300,30
SHADE,500,1,7500,3600,300,40
SHADE,500,1,7500,3600,300,50
SHADE,500,1,7500,3600,600,10
SHADE,500,1,7500,3600,600,20
SHADE,500,1,7500,3600,600,30
SHADE,500,1,7500,3600,600,40
SHADE,500,1,7500,3600,600,50
SHADE,500,1,7500,3600,900,10
SHADE,500,1,7500,3600,900,20
SHADE,500,1,7500,3600,900,30
