algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
GA,36,200,1,7500,3600,900,20,0.99375,0.9915,0.9875,0.0024238399287081,4646.67927107811
GA,37,200,1,7500,3600,900,30,0.99875,0.98875,0.98375,0.0052440442408507,4646.404499149323
GA,38,200,1,7500,3600,900,40,0.99625,0.98725,0.98375,0.0047037219305566,4645.766699409485
GA,39,200,1,7500,3600,900,50,0.99125,0.9875,0.98375,0.0028504385627478,4646.218536376953
GA,40,300,1,7500,3600,60,10,0.8490043178449442,0.838482270244419,0.8227638126834248,0.0098674681087031,50997.41705350876
GA,41,300,1,7500,3600,60,20,0.8328010645375915,0.8216045201664176,0.8102184918731681,0.007397178217568,48778.469313335416
GA,42,300,1,7500,3600,60,30,0.8079809243284943,0.7994087263965839,0.7936986301369863,0.0048029616419861,47229.054024410245
GA,43,300,1,7500,3600,60,40,0.7949675782351283,0.7903568672572104,0.7853685520674872,0.003728559889759,45870.5943344593
GA,44,300,1,7500,3600,60,50,0.7795715378729916,0.7729053068922948,0.7627405696689762,0.0055967877340845,43515.76474552155
GA,45,300,1,7500,3600,300,10,0.9441666666666668,0.9361666666666666,0.9297222222222222,0.0050350622490543,13559.769402599337
GA,46,300,1,7500,3600,300,20,0.9361111111111112,0.9303333333333336,0.925,0.0037900128668467,13546.098722839355
GA,47,300,1,7500,3600,300,30,0.9211111111111112,0.9184444444444444,0.9169444444444445,0.0014444444444444,13539.765163469314
GA,48,300,1,7500,3600,300,40,0.9205555555555556,0.9146111111111112,0.9072222222222224,0.0049178435502957,13541.669676828384
GA,49,300,1,7500,3600,300,50,0.9075,0.9017777777777776,0.8966666666666666,0.0036834632120557,13536.664795970915
GA,50,300,1,7500,3600,600,10,0.9683333333333334,0.96,0.9533333333333334,0.0054772255750516,8346.219299602508
GA,51,300,1,7500,3600,600,20,0.9561111111111112,0.9491111111111112,0.9444444444444444,0.0043546484316145,8332.582391071319
GA,52,300,1,7500,3600,600,30,0.9655555555555556,0.9528888888888888,0.9483333333333334,0.0065395284309164,8336.23759226799
GA,53,300,1,7500,3600,600,40,0.9494444444444444,0.9421111111111112,0.9361111111111112,0.0047842333648024,8336.993940401077
GA,54,300,1,7500,3600,600,50,0.9422222222222222,0.9382222222222222,0.93,0.0044638465392445,8333.42300748825
GA,55,300,1,7500,3600,900,10,0.9691666666666666,0.9643333333333332,0.9591666666666666,0.0038151743807532,6608.260228538513
GA,56,300,1,7500,3600,900,20,0.965,0.9625,0.9591666666666666,0.0021730674684008,6585.944439506531
GA,57,300,1,7500,3600,900,30,0.9658333333333332,0.959,0.9525,0.004515405728048,6583.023001766205
GA,58,300,1,7500,3600,900,40,0.9583333333333334,0.9561666666666668,0.9541666666666668,0.0015456030825826,6586.497424268722
GA,59,300,1,7500,3600,900,50,0.9575,0.952,0.9458333333333332,0.0037859388972002,6596.058126974106
GA,60,400,1,7500,3600,60,10,0.7969268709096082,0.7918324830882448,0.7837000891474687,0.0044623159656419,91356.17584757804
GA,61,400,1,7500,3600,60,20,0.779751595823643,0.7691552028363149,0.7587577274065351,0.0073372707692162,87569.45234065056
GA,62,400,1,7500,3600,60,30,0.7490353371242892,0.7437090571232672,0.7409469355000502,0.0029197075530197,84571.3972243309
GA,63,400,1,7500,3600,60,40,0.7367003011252575,0.7296888090141842,0.7226044983054328,0.0057895153146568,82433.32707867623
GA,64,400,1,7500,3600,60,50,0.7173055859802848,0.710854901945589,0.7064382426084553,0.0039911829766923,79054.26423845292
GA,65,400,1,7500,3600,300,10,0.9058333333333334,0.8998750000000001,0.8952083333333334,0.0036505326856349,22043.076770305637
GA,66,400,1,7500,3600,300,20,0.9035416666666668,0.8984166666666666,0.8939583333333333,0.0031280540631872,22026.456303977968
GA,67,400,1,7500,3600,300,30,0.8889583333333333,0.8845833333333335,0.8822916666666667,0.0024080305461332,22001.263973379137
GA,68,400,1,7500,3600,300,40,0.88625,0.875375,0.864375,0.0081749532788335,21974.636566019057
GA,69,400,1,7500,3600,300,50,0.8810416666666666,0.8724166666666665,0.8645833333333334,0.0057048346942649,21947.98691306114
GA,70,400,1,7500,3600,600,10,0.93375,0.9309166666666666,0.9270833333333334,0.0023333333333333,12533.876109361649
GA,71,400,1,7500,3600,600,20,0.9320833333333334,0.9251666666666668,0.91875,0.0043906466241065,12531.01179075241
