Run1,Run2,Run3,Run4,Run5,Best,Worst,Mean,Std,Time
0.9454367026496565,0.9195146612740142,0.9375,0.9277504105090312,0.9512385410571484,0.9512385410571484,0.9195146612740142,0.9362880630979701,0.01151452741875553,2061.3402354717255
0.9180504636618503,0.9196182396606575,0.9148663101604279,0.899749373433584,0.9187339606501284,0.9196182396606575,0.899749373433584,0.9142036695133295,0.007402765708486543,1985.7376697063446
0.9122298952996213,0.8997083239847431,0.9467991169977925,0.901765504753282,0.9167240192704749,0.9467991169977925,0.8997083239847431,0.9154453720611826,0.016910499713266306,1923.67804646492
0.9210326499620349,0.9153439153439153,0.8980317761441783,0.9061779621945597,0.8948915009041591,0.9210326499620349,0.8948915009041591,0.9070955609097695,0.009941942108277705,1896.8696615219117
0.8942168674698795,0.9151589242053789,0.8901660280970626,0.9333333333333333,0.9144266337854501,0.9333333333333333,0.8901660280970626,0.9094603573782208,0.015695169149680638,1847.9368368625642
0.9783333333333334,0.9866666666666667,0.9741666666666666,0.9766666666666667,0.9758333333333333,0.9866666666666667,0.9741666666666666,0.9783333333333333,0.004377975178854582,1116.666661787033
0.9641666666666666,0.9833333333333333,0.9825,0.9808333333333333,0.9783333333333334,0.9833333333333333,0.9641666666666666,0.9778333333333332,0.00704351553637183,1117.857727766037
0.9775,0.9858333333333333,0.9741666666666666,0.9875,0.9741666666666666,0.9875,0.9741666666666666,0.9798333333333332,0.005734883511361778,1116.3666908740997
0.9808333333333333,0.9916666666666667,0.9875,0.9708333333333333,0.97,0.9916666666666667,0.97,0.9801666666666666,0.008682677518420761,1117.6365421772002
0.9591666666666666,0.9641666666666666,0.9683333333333334,0.9633333333333334,0.9466666666666667,0.9683333333333334,0.9466666666666667,0.9603333333333334,0.007427426651719077,1118.96248960495
0.98,0.995,0.9866666666666667,1.0,0.98,1.0,0.98,0.9883333333333333,0.00802772971919487,993.4317445755005
0.9783333333333334,0.985,0.9816666666666667,0.9866666666666667,0.99,0.99,0.9783333333333334,0.9843333333333334,0.004027681991198171,994.0078992366791
